MX,MY,PVAL
400,60,0.0000
400,70,0.0000
400,80,0.0000
400,90,0.0000
400,100,0.0000
400,125,0.0000
400,150,0.0000
400,200,0.0000
400,250,0.0000
500,60,0.0000
500,70,0.0000
500,80,0.0000
500,90,0.0000
500,100,0.0000
500,125,0.0000
500,150,0.0000
500,200,0.0024
500,250,0.0000
500,300,0.0000
600,60,0.0000
600,70,0.0000
600,80,0.0000
600,90,0.0000
600,100,0.0000
600,125,0.0000
600,150,0.0000
600,200,0.0000
600,250,0.0000
600,300,0.0000
600,400,0.0000
700,60,0.0810
700,70,0.0822
700,80,0.0815
700,90,0.0993
700,100,0.0916
700,125,0.1384
700,150,0.1522
700,200,0.1206
700,250,0.0991
700,300,0.0932
700,400,0.0972
700,500,0.0990
800,60,0.0533
800,70,0.0837
800,80,0.0808
800,90,0.1033
800,100,0.1116
800,125,0.1393
800,150,0.1291
800,200,0.1238
800,250,0.0878
800,300,0.0859
800,400,0.1068
800,500,0.0633
800,600,0.0831
900,60,0.2555
900,70,0.3034
900,80,0.3149
900,90,0.3330
900,100,0.4023
900,125,0.4492
900,150,0.4096
900,200,0.3848
900,250,0.3475
900,300,0.2813
900,400,0.3006
900,500,0.2794
900,600,0.2973
900,700,0.2888
1000,60,0.2853
1000,70,0.3075
1000,80,0.3064
1000,90,0.3707
1000,100,0.4172
1000,125,0.4610
1000,150,0.4313
1000,200,0.3660
1000,250,0.3197
1000,300,0.3099
1000,400,0.3258
1000,500,0.2960
1000,600,0.2794
1000,700,0.2633
1000,800,0.3071
1100,90,0.7560
1100,100,0.7817
1100,125,0.7627
1100,150,0.7372
1100,200,0.7185
1100,250,0.6330
1100,300,0.5614
1100,400,0.5787
1100,500,0.6881
1100,600,0.5343
1100,700,0.5401
1100,800,0.5042
1100,900,0.5276
1200,90,0.7782
1200,100,0.8249
1200,125,0.8526
1200,150,0.7850
1200,200,0.7003
1200,250,0.6867
1200,300,0.6689
1200,400,0.5707
1200,500,0.6366
1200,600,0.5578
1200,700,0.5928
1200,800,0.5357
1200,900,0.5418
1200,1000,0.5438
1400,90,0.7157
1400,100,0.7651
1400,125,0.8056
1400,150,0.8326
1400,200,0.7607
1400,250,0.7016
1400,300,0.6860
1400,400,0.6325
1400,500,0.6750
1400,600,0.5996
1400,700,0.6176
1400,800,0.5633
1400,900,0.5234
1400,1000,0.5399
1400,1200,0.6486
1600,90,0.0048
1600,100,0.0070
1600,125,0.0000
1600,150,0.0012
1600,200,0.0000
1600,250,0.0000
1600,300,0.0000
1600,400,0.0000
1600,500,0.0000
1600,600,0.0000
1600,700,0.0000
1600,800,0.0000
1600,900,0.0000
1600,1000,0.0000
1600,1200,0.0000
1600,1400,0.0000
