sig, CR, VR, SR, CR_TrigCut, VR_TrigCut, SR_TrigCut, CR_ratio, VR_ratio, SR_ratio
sig_NMSSM_bbbb_MX_700_MY_80, 4476.0, 5534.0, 40076.0, 4421.0, 5482.0, 39818.0, 0.987712243074, 0.990603541742, 0.99356223176
sig_NMSSM_bbbb_MX_700_MY_90, 3809.0, 6949.0, 45428.0, 3763.0, 6878.0, 45141.0, 0.987923339459, 0.989782702547, 0.993682310469
sig_NMSSM_bbbb_MX_700_MY_100, 2230.0, 6385.0, 47757.0, 2201.0, 6321.0, 47390.0, 0.986995515695, 0.989976507439, 0.992315262684
sig_NMSSM_bbbb_MX_700_MY_125, 945.0, 2469.0, 55136.0, 928.0, 2433.0, 54735.0, 0.982010582011, 0.985419198056, 0.992727074869
sig_NMSSM_bbbb_MX_700_MY_150, 1878.0, 4768.0, 50429.0, 1863.0, 4726.0, 50023.0, 0.992012779553, 0.991191275168, 0.99194907692
sig_NMSSM_bbbb_MX_700_MY_200, 4559.0, 5874.0, 46917.0, 4511.0, 5811.0, 46446.0, 0.989471375302, 0.989274770174, 0.989960994949
sig_NMSSM_bbbb_MX_700_MY_250, 4672.0, 6407.0, 50144.0, 4586.0, 6325.0, 49594.0, 0.981592465753, 0.987201498361, 0.989031589024
sig_NMSSM_bbbb_MX_700_MY_300, 4620.0, 6482.0, 50636.0, 4565.0, 6385.0, 50051.0, 0.988095238095, 0.985035482876, 0.988446954736
sig_NMSSM_bbbb_MX_700_MY_400, 4459.0, 6434.0, 47061.0, 4396.0, 6328.0, 46483.0, 0.985871271586, 0.983525023314, 0.987718068039
sig_NMSSM_bbbb_MX_700_MY_500, 3585.0, 4774.0, 36843.0, 3544.0, 4674.0, 36078.0, 0.988563458856, 0.97905320486, 0.979236218549
sig_NMSSM_bbbb_MX_800_MY_60, 1598.0, 1990.0, 15048.0, 1557.0, 1954.0, 14912.0, 0.974342928661, 0.981909547739, 0.99096225412
sig_NMSSM_bbbb_MX_800_MY_70, 2849.0, 3308.0, 25644.0, 2804.0, 3273.0, 25486.0, 0.984204984205, 0.989419588875, 0.993838714709
sig_NMSSM_bbbb_MX_800_MY_80, 4023.0, 4917.0, 36301.0, 3972.0, 4885.0, 36125.0, 0.987322893363, 0.993491966646, 0.995151648715
