sig, CR, VR, SR, CR_TrigCut, VR_TrigCut, SR_TrigCut, CR_ratio, VR_ratio, SR_ratio
sig_NMSSM_bbbb_MX_1200_MY_400, 2549.0, 4026.0, 31617.0, 2547.0, 4026.0, 31608.0, 0.99921537858, 1.0, 0.999715343012
sig_NMSSM_bbbb_MX_1200_MY_500, 2906.0, 4275.0, 32997.0, 2905.0, 4275.0, 32987.0, 0.999655884377, 1.0, 0.999696942146
sig_NMSSM_bbbb_MX_1200_MY_600, 3031.0, 4152.0, 32664.0, 3031.0, 4152.0, 32658.0, 1.0, 1.0, 0.999816311536
sig_NMSSM_bbbb_MX_1200_MY_700, 3204.0, 4310.0, 31128.0, 3202.0, 4309.0, 31121.0, 0.999375780275, 0.999767981439, 0.999775122077
sig_NMSSM_bbbb_MX_1200_MY_800, 3150.0, 3923.0, 27924.0, 3148.0, 3921.0, 27920.0, 0.999365079365, 0.999490186082, 0.999856754047
sig_NMSSM_bbbb_MX_1200_MY_900, 2790.0, 3266.0, 22547.0, 2789.0, 3266.0, 22539.0, 0.999641577061, 1.0, 0.999645185612
sig_NMSSM_bbbb_MX_1200_MY_1000, 3650.0, 4060.0, 27564.0, 3639.0, 4057.0, 27523.0, 0.99698630137, 0.999261083744, 0.998512552605
sig_NMSSM_bbbb_MX_1400_MY_90, 507.0, 859.0, 5381.0, 506.0, 858.0, 5378.0, 0.998027613412, 0.998835855646, 0.99944248281
sig_NMSSM_bbbb_MX_1400_MY_100, 401.0, 886.0, 7727.0, 401.0, 885.0, 7727.0, 1.0, 0.998871331828, 1.0
sig_NMSSM_bbbb_MX_1400_MY_125, 262.0, 659.0, 14325.0, 262.0, 658.0, 14322.0, 1.0, 0.998482549317, 0.999790575916
sig_NMSSM_bbbb_MX_1400_MY_150, 1050.0, 2311.0, 18440.0, 1050.0, 2311.0, 18435.0, 1.0, 1.0, 0.999728850325
sig_NMSSM_bbbb_MX_1400_MY_200, 1938.0, 2575.0, 18081.0, 1938.0, 2575.0, 18076.0, 1.0, 1.0, 0.999723466622
sig_NMSSM_bbbb_MX_1400_MY_250, 1885.0, 2900.0, 19429.0, 1882.0, 2900.0, 19421.0, 0.998408488064, 1.0, 0.999588244377
sig_NMSSM_bbbb_MX_1400_MY_300, 2078.0, 2927.0, 20471.0, 2077.0, 2926.0, 20466.0, 0.999518768046, 0.999658353263, 0.999755752039
sig_NMSSM_bbbb_MX_1400_MY_400, 2279.0, 3375.0, 24484.0, 2279.0, 3372.0, 24474.0, 1.0, 0.999111111111, 0.999591570005
sig_NMSSM_bbbb_MX_1400_MY_500, 2330.0, 3550.0, 27116.0, 2329.0, 3548.0, 27111.0, 0.999570815451, 0.999436619718, 0.999815607022
sig_NMSSM_bbbb_MX_1400_MY_600, 2527.0, 3879.0, 29947.0, 2525.0, 3879.0, 29944.0, 0.999208547685, 1.0, 0.999899823021
sig_NMSSM_bbbb_MX_1400_MY_700, 2667.0, 3979.0, 31649.0, 2667.0, 3979.0, 31648.0, 1.0, 1.0, 0.999968403425
sig_NMSSM_bbbb_MX_1400_MY_800, 2989.0, 4087.0, 31790.0, 2988.0, 4086.0, 31784.0, 0.999665439946, 0.999755321752, 0.999811261403
sig_NMSSM_bbbb_MX_1400_MY_900, 2925.0, 3870.0, 28062.0, 2925.0, 3869.0, 28057.0, 1.0, 0.999741602067, 0.999821823106
sig_NMSSM_bbbb_MX_1400_MY_1000, 3087.0, 3642.0, 25481.0, 3086.0, 3642.0, 25475.0, 0.999676060901, 1.0, 0.999764530434
sig_NMSSM_bbbb_MX_1400_MY_1200, 3652.0, 3744.0, 24442.0, 3647.0, 3736.0, 24402.0, 0.998630887185, 0.997863247863, 0.998363472711
sig_NMSSM_bbbb_MX_1600_MY_90, 426.0, 559.0, 3413.0, 425.0, 557.0, 3409.0, 0.99765258216, 0.996422182469, 0.998828010548
sig_NMSSM_bbbb_MX_1600_MY_100, 365.0, 726.0, 5239.0, 364.0, 726.0, 5233.0, 0.997260273973, 1.0, 0.998854743272
sig_NMSSM_bbbb_MX_1600_MY_125, 269.0, 660.0, 10287.0, 269.0, 660.0, 10278.0, 1.0, 1.0, 0.999125109361
sig_NMSSM_bbbb_MX_1600_MY_150, 990.0, 1713.0, 11319.0, 990.0, 1712.0, 11314.0, 1.0, 0.999416228838, 0.999558264864
sig_NMSSM_bbbb_MX_1600_MY_200, 1714.0, 2140.0, 12589.0, 1713.0, 2139.0, 12586.0, 0.999416569428, 0.99953271028, 0.999761696719
sig_NMSSM_bbbb_MX_1600_MY_250, 1678.0, 2255.0, 13832.0, 1675.0, 2254.0, 13826.0, 0.99821215733, 0.99955654102, 0.99956622325
