File name: lee_sign_all_neg.root
Data largest local sign: 
1 -7.0425 -4 -4
MC toys below min local 

1 -3.14175 400 250

1 -2.75025 400 250

1 -3.02925 600 125

1 -3.76275 600 150

1 -3.17925 600 150

1 -3.63675 600 150

1 -3.26025 600 150

1 -3.16575 600 150

1 -2.91225 600 125

1 -2.89725 400 250

1 -2.60925 600 125

1 -3.49125 400 250

1 -3.32475 1100 700

1 -3.52875 600 150

1 -3.09075 400 125

1 -3.31575 400 250

1 -3.07275 600 125

1 -3.51075 400 250

1 -2.86125 600 125

1 -2.48625 700 125

1 -3.84525 600 150

1 -3.65475 600 125

1 -3.22875 600 150

1 -3.91425 400 250

1 -3.18375 400 250

1 -2.82975 600 125

1 -2.92575 600 125

1 -3.85125 600 125

1 -3.25875 600 150

1 -3.54525 600 150

1 -3.58875 1100 125

1 -3.35025 600 150

1 -2.53575 1100 200

1 -3.57975 600 150

1 -3.35175 400 250

1 -2.86425 600 150

1 -3.35625 400 250

1 -3.11925 600 150

1 -3.66225 600 150

1 -3.73275 400 250

1 -3.09075 600 125

1 -4.11675 400 250

1 -3.68925 400 250

1 -3.37875 600 150

1 -2.97375 400 250

1 -3.12975 600 125

1 -3.31725 600 125

1 -3.83625 400 250

1 -2.65275 600 150

1 -3.01725 400 250

1 -3.27675 600 150

1 -3.88425 400 250

1 -3.08775 600 150

1 -2.72025 600 125

1 -4.06575 600 125

1 -2.89425 700 150

1 -3.10425 600 125

1 -3.59475 600 150

1 -2.65575 600 150

1 -3.24675 400 250

1 -2.80425 800 150

1 -3.92775 600 125

1 -3.27825 400 250

1 -2.73225 400 125

1 -3.62175 600 150

1 -4.13325 600 150

1 -3.47475 600 125

1 -3.06075 600 150

1 -3.48525 600 125

1 -2.63925 1000 250

1 -3.30975 400 250

1 -3.35025 400 250

1 -3.04575 600 150

1 -3.54375 600 150

1 -3.29625 600 150

1 -3.65175 400 250

1 -3.59775 600 125

1 -5.00175 400 250

1 -3.23325 600 125

1 -3.10125 400 250

1 -2.82225 600 150

1 -3.21975 400 250

1 -2.61375 600 125

1 -3.61725 600 150

1 -3.61275 400 250

1 -4.02675 400 250

1 -5.22225 400 250

1 -3.29625 400 250

1 -2.96625 400 250

1 -3.66975 600 125

1 -3.00375 600 150

1 -3.82575 700 125

1 -2.91075 600 150

1 -3.33825 600 150

1 -4.01625 400 250

1 -2.93175 600 150

1 -3.66075 600 150

1 -3.54225 400 250

1 -4.07325 600 150

1 -3.47025 600 125

1 -3.37575 600 125

1 -4.54425 600 125

1 -4.12575 600 125

1 -3.15375 600 125

1 -2.92275 400 250

1 -3.31875 400 250

1 -3.88425 600 150

1 -3.36675 600 125

1 -3.29325 400 250

1 -2.99625 600 125

1 -3.12975 400 250

1 -3.66525 600 125

1 -3.26925 600 150

1 -4.29975 400 250

1 -3.54825 600 125

1 -3.44925 600 150

1 -3.73125 600 150

1 -3.56775 400 250

1 -3.48075 600 125

1 -3.94875 600 125

1 -3.51375 600 150

1 -2.83125 600 150

1 -2.73525 600 125

1 -3.90675 700 125

1 -3.07275 600 125

1 -3.15975 400 250

1 -2.63625 600 125

1 -3.29475 600 150

1 -3.50025 600 150

1 -4.25625 600 125

1 -3.60675 600 150

1 -4.22175 600 150

1 -2.88525 600 125

1 -3.68925 600 150

1 -3.83025 400 250

1 -3.79575 600 150

1 -4.17075 400 250

1 -3.56025 600 125

1 -3.51075 400 250

1 -4.11525 400 250

1 -3.67425 600 150

1 -3.61725 600 125

1 -3.82875 600 150

1 -3.34725 600 150

1 -3.01425 1000 200

1 -3.34875 600 125

1 -3.71475 600 150

1 -3.06525 600 125

1 -3.64425 400 250

1 -3.43125 600 125

1 -4.10775 600 125

1 -3.02025 600 125

1 -3.05925 400 250

1 -4.65375 600 125

1 -3.41325 600 150

1 -3.88875 700 125

1 -3.18825 400 250

1 -3.81525 400 250

